Player,Pos,Team,FantasyPoints
Jalen Hurts,QB,PHI,351.8
Josh Allen,QB,BUF,349.6
Patrick Mahomes,QB,KC,328.7
Lamar Jackson,QB,BAL,327.3
Christian McCaffrey,RB,SF,315.3
Dak Prescott,QB,DAL,304.2
Joe Burrow,QB,CIN,300.2
Anthony Richardson,QB,IND,298.9
CJ Stroud,QB,HOU,296.8
Jordan Love,QB,GB,294
Kyler Murray,QB,ARI,293.6
Brock Purdy,QB,SF,290.7
Trevor Lawrence,QB,JAC,282.5
Jayden Daniels,QB,WAS,281.7
Justin Herbert,QB,LAC,280.4
Caleb Williams,QB,CHI,276.9
Breece Hall,RB,NYJ,275.5
CeeDee Lamb,WR,DAL,275.5
Deshaun Watson,QB,CLE,273.6
Kirk Cousins,QB,ATL,273.2
Jared Goff,QB,DET,268.8
Baker Mayfield,QB,TB,267.6
Bijan Robinson,RB,ATL,267.4
Tua Tagovailoa,QB,MIA,262.1
Saquon Barkley,RB,PHI,261.2
Aaron Rodgers,QB,NYJ,260.2
Matthew Stafford,QB,LAR,258.9
Tyreek Hill,WR,MIA,258.6
Geno Smith,QB,SEA,254
Derek Carr,QB,NO,251.7
Jonathan Taylor,RB,IND,249.4
Daniel Jones,QB,NYG,248.8
AmonRa St Brown,WR,DET,243.7
Justin Jefferson,WR,MIN,240.1
JaMarr Chase,WR,CIN,239.6
Kyren Williams,RB,LAR,236.5
Will Levis,QB,TEN,229.1
Puka Nacua,WR,LAR,228.7
Derrick Henry,RB,BAL,226.3
AJ Brown,WR,PHI,224.9
Bryce Young,QB,CAR,222.7
Jahmyr Gibbs,RB,DET,220.2
Isiah Pacheco,RB,KC,216.3
Russell Wilson,QB,PIT,215.3
JJ McCarthy,QB,MIN,215
Joe Mixon,RB,HOU,214.8
Travis Etienne,RB,JAC,214.2
Josh Jacobs,RB,GB,212.8
DeVon Achane,RB,MIA,212.8
Rachaad White,RB,TB,210.3
Garrett Wilson,WR,NYJ,210.2
James Cook,RB,BUF,208.6
Chris Olave,WR,NO,204.1
Marvin Harrison,WR,ARI,203.3
Alvin Kamara,RB,NO,202.7
Davante Adams,WR,LV,202.3
Nico Collins,WR,HOU,201.8
Bo Nix,QB,DEN,201.7
Mike Evans,WR,TB,201.3
Deebo Samuel,WR,SF,199.9
Kenneth Walker,RB,SEA,197.3
DK Metcalf,WR,SEA,193.5
DJ Moore,WR,CHI,193.2
Brandon Aiyuk,WR,SF,192.6
Drake London,WR,ATL,191.4
Cooper Kupp,WR,LAR,191
Travis Kelce,TE,KC,189.7
DeVonta Smith,WR,PHI,188.4
Amari Cooper,WR,CLE,183.3
Stefon Diggs,WR,HOU,183.1
Tee Higgins,WR,CIN,182.9
Raheem Mostert,RB,MIA,182.2
Zay Flowers,WR,BAL,182.2
James Conner,RB,ARI,181.7
Michael Pittman,WR,IND,181.7
Jaylen Waddle,WR,MIA,181.3
Tank Dell,WR,HOU,181.3
Calvin Ridley,WR,TEN,179.1
Drake Maye,QB,NE,177.4
David Montgomery,RB,DET,177
Sam LaPorta,TE,DET,177
Aaron Jones,RB,MIN,176.9
Zamir White,RB,LV,176
Mark Andrews,TE,BAL,175.6
George Pickens,WR,PIT,172.7
Chris Godwin,WR,TB,171.7
Najee Harris,RB,PIT,170.6
DeAndre Hopkins,WR,TEN,170.2
Dandre Swift,RB,CHI,168.8
Zack Moss,RB,CIN,167.1
Rhamondre Stevenson,RB,NE,166.4
Malik Nabers,WR,NYG,165.9
Austin Ekeler,RB,WAS,165.9
Brian Robinson,RB,WAS,165.8
Christian Watson,WR,GB,163.7
Jayden Reed,WR,GB,163.3
Diontae Johnson,WR,CAR,162.5
Jordan Addison,WR,MIN,162
Christian Kirk,WR,JAC,161.8
Nick Chubb,RB,CLE,161.4
Rashee Rice,WR,KC,161.2
Jonathon Brooks,RB,CAR,160.3
Terry McLaurin,WR,WAS,159.8
Keenan Allen,WR,CHI,159.7
Hollywood Brown,WR,KC,157.8
Tony Pollard,RB,TEN,155.9
Javonte Williams,RB,DEN,154
George Kittle,TE,SF,153.6
Courtland Sutton,WR,DEN,153.2
Jaylen Warren,RB,PIT,152.7
Trey McBride,TE,ARI,151.1
Mike Williams,WR,NYJ,150.6
Xavier Worthy,WR,KC,150.2
David Njoku,TE,CLE,149.2
Gardner Minshew,QB,LV,148.8
Devin Singletary,RB,NYG,148.5
Ladd McConkey,WR,LAC,148.5
Evan Engram,TE,JAC,147.5
JK Dobbins,RB,LAC,147.4
Dalton Kincaid,TE,BUF,146.3
Tyler Lockett,WR,SEA,145.8
Ezekiel Elliott,RB,DAL,145.7
Jerry Jeudy,WR,CLE,144.3
Kyle Pitts,TE,ATL,144
Keon Coleman,WR,BUF,143.6
Jaxon Smith Njigba,WR,SEA,143.6
Brian Thomas,WR,JAC,143.3
Jake Ferguson,TE,DAL,143.2
Rome Odunze,WR,CHI,142.5
Jakobi Meyers,WR,LV,140.9
Gus Edwards,RB,LAC,140.8
Tyjae Spears,RB,TEN,140.5
Romeo Doubs,WR,GB,138.5
Brandin Cooks,WR,DAL,137.1
Rashid Shaheed,WR,NO,135.7
Jameson Williams,WR,DET,134.6
Adam Thielen,WR,CAR,134
Chase Brown,RB,CIN,132.7
Gabe Davis,WR,JAC,132.3
Curtis Samuel,WR,BUF,131.2
Khalil Shakir,WR,BUF,130.2
Dallas Goedert,TE,PHI,129.3
DeMario Douglas,WR,NE,129.2
Kendrick Bourne,WR,NE,128.8
Antonio Gibson,RB,NE,125.8
Joshua Palmer,WR,LAC,124.6
Darnell Mooney,WR,ATL,122.8
Tyler Allgeier,RB,ATL,122.3
WanDale Robinson,WR,NYG,121.7
Brock Bowers,TE,LV,121.6
TJ Hockenson,TE,MIN,120.1
Jerome Ford,RB,CLE,119
Ty Chandler,RB,MIN,118.2
Cole Kmet,TE,CHI,116.9
Dalton Schultz,TE,HOU,116.9
Demarcus Robinson,WR,LAR,116.5
Xavier Legette,WR,CAR,113.9
Jahan Dotson,WR,WAS,113.8
Trey Benson,RB,ARI,113.4
Darius Slayton,WR,NYG,112.5
Blake Corum,RB,LAR,112.4
Adonai Mitchell,WR,IND,112.3
DJ Chark,WR,LAC,111.8
Marvin Mims,WR,DEN,110.1
Michael Wilson,WR,ARI,109.7
Josh Downs,WR,IND,109.2
Pat Freiermuth,TE,PIT,108.8
Zach Charbonnet,RB,SEA,108.6
Quentin Johnston,WR,LAC,107.8
Rico Dowdle,RB,DAL,106.8
Jermaine Burton,WR,CIN,105.9
Tyler Conklin,TE,NYJ,105.1
Rashod Bateman,WR,BAL,105.1
Jaleel McLaughlin,RB,DEN,102.9
Zay Jones,WR,ARI,101
Clyde Edwards Helaire,RB,KC,100.1
Chuba Hubbard,RB,CAR,99.1
Juwan Johnson,TE,NO,99
Jalen Tolbert,WR,DAL,98.9
Odell Beckham,WR,MIA,97.7
Chigoziem Okonkwo,TE,TEN,97.3
Hunter Henry,TE,NE,96.3
Rondale Moore,WR,ATL,95.3
JaLynn Polk,WR,NE,95.1
Tim Patrick,WR,DEN,94.6
Kendre Miller,RB,NO,94.4
Dontayvion Wicks,WR,GB,94.1
Tyler Boyd,WR,TEN,93.9
MarShawn Lloyd,RB,GB,93.8
Cade Otton,TE,TB,91.7
Roman Wilson,WR,PIT,91.2
DOnta Foreman,RB,CLE,90.7
Khalil Herbert,RB,CHI,90.1
Noah Brown,WR,HOU,89.8
Robert Woods,WR,HOU,88.9
Luke Musgrave,TE,GB,88
Jalin Hyatt,WR,NYG,87.7
Malachi Corley,WR,NYJ,87.5
Trey Palmer,WR,TB,87.5
Samaje Perine,RB,DEN,87
Isaiah Likely,TE,BAL,86.7
Brandon Johnson,WR,DEN,86.3
Aidan OConnell,QB,LV,85.5
Jaylen Wright,RB,MIA,85.4
Tyrone Tracy,RB,NYG,84.5
Ray Davis,RB,BUF,83.1
Elijah Moore,WR,CLE,83.1
Marquez Callaway,WR,PIT,83
Kenneth Gainwell,RB,PHI,82.9
Alexander Mattison,RB,LV,82.7
Braelon Allen,RB,NYJ,82.1
Jonnu Smith,TE,MIA,81.8
Troy Franklin,WR,DEN,81.4
Luke McCaffrey,WR,WAS,80.1
Roschon Johnson,RB,CHI,79.7
Bucky Irving,RB,TB,79.4
Josh Reynolds,WR,DEN,79.2
Jalen McMillan,WR,TB,78.4
Tyler Higbee,TE,LAR,77.5
Miles Sanders,RB,CAR,77.2
Hayden Hurst,TE,LAC,76.8
Ricky Pearsall,WR,SF,76.5
Ben Sinnott,TE,WAS,76.3
Taysom Hill,QB,NO,76
Noah Fant,TE,SEA,75.5
Elijah Mitchell,RB,SF,75.3
Donald Parham,TE,LAC,73.4
KaVontae Turpin,WR,DAL,72.5
Dawson Knox,TE,BUF,71.9
Tucker Kraft,TE,GB,71.6
Mike Gesicki,TE,CIN,71.6
Justice Hill,RB,BAL,71
Jonathan Mingo,WR,CAR,69.2
Keaton Mitchell,RB,BAL,68.4
Jamaal Williams,RB,NO,68.3
Greg Dortch,WR,ARI,67
Kalif Raymond,WR,DET,66.4
Nelson Agholor,WR,BAL,66.2
Greg Dulcich,TE,DEN,66.1
Van Jefferson,WR,PIT,65.4
Michael Mayer,TE,LV,65.1
AT Perry,WR,NO,65
Sam Darnold,QB,MIN,63.3
Chase Edmonds,RB,TB,62.8
Gerald Everett,TE,CHI,62.7
Justin Fields,QB,PIT,62.3
Cedrick Wilson,WR,NO,61.2
Trenton Irwin,WR,CIN,58.7
Zach Ertz,TE,WAS,58.5
Jacoby Brissett,QB,NE,58.1
Cedric Tillman,WR,CLE,56.3
Noah Gray,TE,KC,56.1
Tre Tucker,WR,LV,56
Tank Bigsby,RB,JAC,56
Tommy Tremble,TE,CAR,55.6
Theo Johnson,TE,NYG,55
Jelani Woods,TE,IND,54.6
Taysom Hill,TE,NO,54.4
AJ Dillon,RB,GB,54.2
Daniel Bellinger,TE,NYG,53.6
Brevin Jordan,TE,HOU,53.6
Alec Pierce,WR,IND,53
Ty Johnson,RB,BUF,51.9
Isaiah Davis,RB,NYJ,50.4
JaTavion Sanders,TE,CAR,50.2
Kylen Granson,TE,IND,50.2
Eric Gray,RB,NYG,49.9
Dameon Pierce,RB,HOU,49.9
Jamison Crowder,WR,WAS,49.8
Colby Parkinson,TE,LAR,49.4
Durham Smythe,TE,MIA,49
Andrei Iosivas,WR,CIN,48.3
Tutu Atwell,WR,LAR,46.3
Elijah Higgins,TE,ARI,46.1
Jeremy Ruckert,TE,NYJ,45.5
Jarrett Stidham,QB,DEN,45.3
Adam Trautman,TE,DEN,45.2
Ameer Abdullah,RB,LV,44.1
Johnny Mundt,TE,MIN,43.8
Brock Wright,TE,DET,43.7
DErnest Johnson,RB,JAC,43.6
Michael Gallup,WR,LV,43
Josh Oliver,TE,MIN,42.6
Devontez Walker,WR,BAL,41.6
Kyle Juszczyk,RB,SF,41.3
Trey Sermon,RB,IND,40.6
KhaDarel Hodge,WR,ATL,40.4
Treylon Burks,WR,TEN,40
Will Dissly,TE,LAC,39.8
Justin Watson,WR,KC,39.6
Evan Hull,RB,IND,39.5
Bub Means,WR,NO,39.4
Connor Heyward,TE,PIT,39
Calvin Austin,WR,PIT,38.4
Dare Ogunbowale,RB,HOU,38
Audric Estime,RB,DEN,37.4
Jake Bobo,WR,SEA,37.2
Brandon Powell,WR,MIN,37.2
Emari Demercado,RB,ARI,37.1
Austin Hooper,TE,NE,37
Mo Alie Cox,TE,IND,36.9
Nyheim Hines,RB,CLE,36.8
Tanner Hudson,TE,CIN,36.7
Deuce Vaughn,RB,DAL,36.6
Xavier Gipson,WR,NYJ,36.5
Andrew Beck,TE,HOU,36.1
Teagan Quitoriano,TE,HOU,35.4
Jeremy McNichols,RB,WAS,35.1
Michael Carter,RB,ARI,34.7
Trayveon Williams,RB,CIN,33.9
Jauan Jennings,WR,SF,33.9
Sean Clifford,QB,GB,33.8
Case Keenum,QB,HOU,33.7
Chris Rodriguez,RB,WAS,32.8
Hendon Hooker,QB,DET,31.9
Marquez Valdes Scantling,WR,BUF,31.8
Logan Thomas,TE,SF,31.5
Derius Davis,WR,LAC,31.4
Sam Howell,QB,SEA,31.4
Will Shipley,RB,PHI,30.9
Parris Campbell,WR,PHI,30.6
Mason Rudolph,QB,TEN,29.9
Ronnie Rivers,RB,LAR,29.7
Kendall Milton,RB,PHI,29.6
Jordan Mason,RB,SF,29.5
Quintin Morris,TE,BUF,29.4
Nathan Peterman,QB,NO,29.2
Cordarrelle Patterson,RB,PIT,28.9
Ryan Flournoy,WR,DAL,28.9
Stephen Sullivan,TE,CAR,28.8
Foster Moreau,TE,NO,28.7
Drew Lock,QB,NYG,28.6
